,City,Country,Lat,Lng,Hotel Name
7,atar,MR,20.5169,-13.0499,Bab Sahara
17,karratha,AU,-20.7377,116.8463,Karratha International Hotel
29,roebourne,AU,-20.7833,117.1333,Latitude20 Roebourne Village
96,namibe,AO,-15.1961,12.1522,Hotel Chik Chik Namibe
119,beloha,MG,-25.1667,45.05,
298,abu dhabi,AE,24.4667,54.3667,Emirates Palace
331,kashmor,PK,28.4333,69.5833,Gul Muhammad Hotel
346,hurghada,EG,27.2574,33.8129,Albatros White Beach - All Inclusive
405,araxa,BR,-19.5933,-46.9406,Hotel Dona Beja
486,baherden,TM,38.4362,57.4316,
